"created_at","retweet_count","is_quote","reply_to_screen_name","source","favourites_count","followers_count","friends_count","listed_count","statuses_count","verified","popular"
2018-05-28 09:13:15,0,FALSE,,"Facebook",32,16,42,0,431,FALSE,FALSE
2018-05-28 10:05:04,0,FALSE,"jpaaace07","Twitter for Android",43,52,117,0,295,FALSE,FALSE
2018-05-28 10:34:33,0,FALSE,,"Google",41,11,23,0,113,FALSE,FALSE
2018-05-28 10:30:08,0,FALSE,,"Hootsuite",9297,1001661,922,871,59959,TRUE,FALSE
2018-05-28 10:38:21,0,FALSE,"clanhemoal","Twitter for Android",235,97,135,0,346,FALSE,FALSE
2018-05-28 10:55:14,3,FALSE,,"Twitter Web Client",440,3997990,337,10076,418359,TRUE,TRUE
2018-05-28 09:28:14,0,FALSE,,"Twitter Web Client",5,8,68,0,69,FALSE,FALSE
2018-05-28 09:40:41,0,FALSE,,"IFTTT",1195,10746,5900,51,78541,FALSE,FALSE
2018-05-28 10:02:11,5,FALSE,,"Twitter Web Client",22945,4342,2261,14,9676,FALSE,TRUE
2018-05-28 09:39:59,0,FALSE,,"Twitter for Android",31830,433,511,36,171342,FALSE,FALSE
2018-05-28 09:13:21,0,FALSE,,"Twitter for iPhone",5425,2627,487,52,48718,FALSE,FALSE
2018-05-28 10:58:57,0,FALSE,,"Google",4771,374,1112,11,28143,FALSE,FALSE
2018-05-28 11:12:01,0,FALSE,"jojhanriggs","Twitter for iPhone",42238,5074,2768,24,125585,FALSE,FALSE
2018-05-28 11:16:02,0,FALSE,"LonzoGod","Twitter for iPhone",579,28,71,0,367,FALSE,FALSE
2018-05-28 11:12:23,0,FALSE,"F_deFIFA","Twitter for iPhone",1271,97,133,0,1509,FALSE,FALSE
2018-05-28 10:22:16,0,FALSE,,"Google",0,2,54,0,862,FALSE,FALSE
2018-05-28 09:44:10,3,FALSE,,"Twitter Web Client",5972,1729,1063,44,8641,FALSE,TRUE
2018-05-28 09:18:28,0,FALSE,"samuelM1308","Twitter for Android",1436,882,390,11,12049,FALSE,FALSE
2018-05-28 11:17:40,0,FALSE,"HLTeams","Twitter Web Client",1963,91,286,0,2093,FALSE,FALSE
2018-05-27 17:54:58,82,FALSE,,"dlvr.it",352,980012,519,12242,384751,TRUE,TRUE
2018-05-28 10:09:33,1,FALSE,,"Twitter for iPhone",14124,699,288,5,17830,FALSE,TRUE
2018-05-28 09:15:13,0,FALSE,"CarolinaMP06","Twitter Web Client",10,1,35,0,77,FALSE,FALSE
2018-05-28 10:48:31,0,TRUE,,"Twitter Web Client",3023,247,1044,8,24686,FALSE,FALSE
2018-05-28 09:19:35,1,FALSE,,"Twitter for Android",12,764,58,17,29590,FALSE,TRUE
2018-05-28 09:09:27,0,FALSE,,"Twitter for Android",1572,399,343,0,13614,FALSE,FALSE
2018-05-28 11:15:00,2,FALSE,,"TweetDeck",765,1751433,470,3040,145208,TRUE,TRUE
2018-05-28 10:38:35,7,FALSE,,"Twitter Web Client",440,3997990,337,10076,418359,TRUE,TRUE
2018-05-28 09:34:53,0,FALSE,,"Twitter Web Client",773,71,61,1,2503,FALSE,FALSE
2018-05-28 09:03:46,0,FALSE,,"Twitter Web Client",775,676,260,2,2917,FALSE,FALSE
2018-05-28 10:02:39,0,FALSE,,"Twitter for iPhone",2661,14419,677,54,15389,FALSE,FALSE
2018-05-28 09:58:20,0,FALSE,"ECUAGOL","Twitter for Android",752,185,495,0,11285,FALSE,FALSE
2018-05-28 10:16:50,0,FALSE,"DjMaRiiO_90","Twitter for iPad",35,54,223,0,184,FALSE,FALSE
2018-05-28 10:08:48,1,FALSE,,"Twitter Web Client",283,34356,608,161,82765,TRUE,TRUE
2018-05-28 10:52:30,0,FALSE,"Nopuedofaltar","Twitter Lite",10006,93,104,0,4633,FALSE,FALSE
2018-05-28 10:16:56,0,FALSE,,"Twitter Lite",8,101,206,0,1153,FALSE,FALSE
2018-05-28 09:30:14,0,FALSE,,"Google",24,15,65,0,246,FALSE,FALSE
2018-05-28 11:24:54,0,FALSE,"Robin44591184","Twitter Lite",566,3,29,0,773,FALSE,FALSE
2018-05-28 09:37:15,0,FALSE,"FIFAcom","Twitter Web Client",0,3,95,0,350,FALSE,FALSE
2018-05-28 11:12:26,0,FALSE,,"Twitter for Android",8471,19,199,0,1818,FALSE,FALSE
2018-05-28 10:36:24,0,FALSE,"RHdz85","Twitter for iPhone",5866,180,955,2,2081,FALSE,FALSE
2018-05-28 11:24:39,0,FALSE,,"Twitter Web Client",106,75,748,0,1152,FALSE,FALSE
2018-05-28 11:08:11,0,FALSE,,"Google",3803,1979,1412,5,16085,FALSE,FALSE
2018-05-28 09:31:57,0,FALSE,,"dlvr.it",0,722,325,9,8432,FALSE,FALSE
2018-05-28 10:45:26,0,FALSE,"B3CUERVOGRANATE","Twitter Web Client",9881,389,585,5,50790,FALSE,FALSE
2018-05-28 11:00:22,0,FALSE,,"Google",27,19,168,0,925,FALSE,FALSE
2018-05-28 10:40:22,0,FALSE,"mundodeportivo","Twitter for Android",116,0,31,0,604,FALSE,FALSE
2018-05-28 10:02:42,0,FALSE,,"Twitter for Android",12684,2756,3924,159,69441,FALSE,FALSE
2018-05-28 09:29:16,0,FALSE,"_Yvnalesca","Twitter for iPhone",35712,1802,203,28,53776,FALSE,FALSE
2018-05-28 09:59:49,1,FALSE,"BrunoScelza_","Twitter for Android",1850,361,214,2,2091,FALSE,TRUE
2018-05-28 11:16:02,0,FALSE,,"Twitter Lite",896,132,724,5,3452,FALSE,FALSE
2018-05-28 10:10:17,0,FALSE,,"Google",25,8,18,0,2115,FALSE,FALSE
2018-05-28 10:27:33,0,FALSE,,"Twitter for iPhone",10031,226,342,0,5072,FALSE,FALSE
2018-05-28 10:34:14,1,FALSE,"anibalgomezcab","Twitter for Android",367,23,132,0,1171,FALSE,TRUE
2018-05-28 09:55:58,0,FALSE,"oscar_a17","Twitter for Android",204,170,717,0,603,FALSE,FALSE
2018-05-28 11:28:37,0,FALSE,"PedroEloyG","Twitter for Android",133,106,739,0,788,FALSE,FALSE
2018-05-28 11:28:46,0,FALSE,,"Twitter for Android",4273,341,145,4,3625,FALSE,FALSE
2018-05-28 10:15:38,0,FALSE,"oscar_a17","Twitter for Android",204,170,717,0,603,FALSE,FALSE
2018-05-28 10:28:26,0,FALSE,,"Twitter Web Client",23956,438,974,29,33884,FALSE,FALSE
2018-05-28 10:37:12,0,FALSE,"CMonteroOficial","Twitter for iPhone",22235,159,244,0,1042,FALSE,FALSE
2018-05-28 10:32:17,7,TRUE,,"Twitter for Android",2537,17655,34,62,74311,FALSE,TRUE
2018-05-28 10:35:36,0,FALSE,,"Google",2243,139,169,0,1618,FALSE,FALSE
2018-05-28 09:32:47,0,TRUE,,"Twitter for iPhone",5765,92,207,0,26098,FALSE,FALSE
2018-05-28 10:30:45,0,FALSE,"decanoypadre","Twitter for Android",68470,590,849,16,46685,FALSE,FALSE
2018-05-28 10:57:15,0,FALSE,,"Twitter Web Client",1307,38,187,0,625,FALSE,FALSE
2018-05-28 10:13:10,0,FALSE,"Dany_Fifa_x","Twitter for iPhone",18284,5719,330,34,34370,FALSE,FALSE
2018-05-28 11:16:56,0,FALSE,,"Twitter for Android",4896,784,724,0,19263,FALSE,FALSE
2018-05-28 09:33:15,1,FALSE,"AlertaNews24","Twitter for Android",18,570,2,0,299,FALSE,TRUE
2018-05-28 09:36:34,0,FALSE,,"Twitter for Android",1783,414,264,8,6672,FALSE,FALSE
2018-05-28 09:55:58,0,FALSE,,"Google",866,25,116,5,9137,FALSE,FALSE
2018-05-28 10:44:14,2,FALSE,,"TweetDeck",96,774402,558,2516,226610,TRUE,TRUE
2018-05-28 10:02:43,0,FALSE,,"Google",82,16,43,0,222,FALSE,FALSE
2018-05-28 09:00:13,0,FALSE,,"SocialGest",33,37,62,1,73,FALSE,FALSE
2018-05-28 10:12:24,0,TRUE,,"Twitter Lite",904,621,382,1,14808,FALSE,FALSE
2018-05-28 10:33:52,0,FALSE,"F_deFIFA","Twitter for iPhone",8132,415,451,2,7643,FALSE,FALSE
2018-05-28 10:11:40,0,FALSE,"abi_ck4","Twitter for Android",1525,346,318,2,2672,FALSE,FALSE
2018-05-28 10:11:27,0,FALSE,"ByOsCaaRx","Twitter Web Client",63,39,85,0,278,FALSE,FALSE
2018-05-28 09:01:51,25,FALSE,,"TweetDeck",51,120900,996,287,25732,TRUE,TRUE
2018-05-28 10:31:46,0,FALSE,,"Google",25317,1180,2383,10,31093,FALSE,FALSE
2018-05-28 10:04:43,0,FALSE,,"Twitter for Android",1562,46,143,0,493,FALSE,FALSE
2018-05-28 09:56:44,1,FALSE,,"Twitter Web Client",319,6239,72,108,17217,FALSE,TRUE
2018-05-28 10:28:52,0,FALSE,,"Google",7540,124,391,0,12648,FALSE,FALSE
2018-05-28 10:28:07,0,FALSE,,"Twitter Web Client",646,258,2,3,3062,FALSE,FALSE
2018-05-28 10:52:05,0,FALSE,,"Twitter for Android",1303,47,177,0,1177,FALSE,FALSE
2018-05-28 09:26:27,0,FALSE,"Efficiency_team","Twitter for Android",21,120,208,0,42,FALSE,FALSE
2018-05-28 11:00:46,1,FALSE,,"Hootsuite Inc.",4369,30694,6051,49,12250,FALSE,TRUE
2018-05-28 11:04:16,0,FALSE,,"dlvr.it",201,6461,402,48,13201,FALSE,FALSE
2018-05-28 11:16:42,0,FALSE,,"Twitter Web Client",485,19952,786,210,66901,FALSE,FALSE
2018-05-28 11:25:08,0,FALSE,,"Twitter Web Client",24,45,31,0,51,FALSE,FALSE
2018-05-28 11:00:18,0,FALSE,"LucasCruz360","Twitter for Android",1019,344,184,0,1506,FALSE,FALSE
2018-05-28 10:07:27,4,FALSE,,"Twitter for Android",1164,702,54,12,12649,FALSE,TRUE
2018-05-28 09:56:31,23,FALSE,,"Twitter Web Client",485,19952,786,210,66901,FALSE,TRUE
2018-05-28 10:00:25,2,FALSE,,"Twitter Web Client",608,636760,679,1568,234040,TRUE,TRUE
2018-05-28 10:41:31,0,FALSE,"corbo_juan","Twitter for Android",5015,446,680,4,8404,FALSE,FALSE
2018-05-28 10:28:53,0,FALSE,,"Twitter for iPhone",119,35,159,0,454,FALSE,FALSE
2018-05-28 10:29:41,0,FALSE,"JFMaldo88","Twitter for Android",7481,306,399,4,7561,FALSE,FALSE
2018-05-27 22:22:24,183,FALSE,,"Twitter for iPhone",523,721054,139,1609,53390,TRUE,TRUE
2018-05-28 10:05:55,1,FALSE,,"Twitter for Android",892,225,566,4,4327,FALSE,TRUE
2018-05-28 10:18:19,1,FALSE,"noticiasfides","Twitter for iPhone",9952,4192,3192,41,17046,FALSE,TRUE
2018-05-28 11:10:47,0,FALSE,"lucaspezzatti","Twitter for iPhone",26868,757,693,7,43932,FALSE,FALSE
2018-05-28 09:05:49,0,FALSE,,"Google",383,88,29,2,2250,FALSE,FALSE
2018-05-28 10:29:48,0,FALSE,"DjMaRiiO_90","Twitter Web Client",8982,128,102,0,6623,FALSE,FALSE
2018-05-28 10:44:38,0,FALSE,,"Twitter for Android",33,7,108,0,65,FALSE,FALSE
2018-05-28 10:38:20,0,FALSE,"CheskoMorales","Twitter for iPhone",50948,17044,884,86,49976,FALSE,FALSE
2018-05-28 09:46:47,0,FALSE,,"Twitter for Android",26,52,127,0,1544,FALSE,FALSE
2018-05-28 10:29:50,5,FALSE,,"Twitter for Android",724,6633,6106,35,8626,FALSE,TRUE
2018-05-28 10:22:39,0,FALSE,,"Twitter Web Client",5056,176,463,2,4024,FALSE,FALSE
2018-05-28 09:33:40,0,FALSE,,"IFTTT",1,61,26,1,43177,FALSE,FALSE
2018-05-28 11:30:16,0,TRUE,,"TweetDeck",140607,19103,2108,297,153187,FALSE,FALSE
2018-05-28 10:57:30,0,FALSE,,"Twitter for Android",1,18,70,0,5,FALSE,FALSE
2018-05-28 11:13:15,0,FALSE,,"IFTTT",21,5,11,0,462,FALSE,FALSE
2018-05-28 10:56:56,0,FALSE,,"Google",27216,6719,77,16,8856,FALSE,FALSE
2018-05-28 11:07:55,0,TRUE,,"Twitter for iPhone",799,181,438,0,4598,FALSE,FALSE
2018-05-28 09:15:51,0,FALSE,,"Twitter Web Client",283,34356,608,161,82765,TRUE,FALSE
2018-05-28 10:07:26,7,FALSE,,"Twitter Web Client",1965,92132,136,108,5846,TRUE,TRUE
2018-05-28 09:46:38,0,FALSE,"NebilimKH","Twitter for Android",31830,433,511,36,171342,FALSE,FALSE
2018-05-28 09:59:41,0,FALSE,"oscar_a17","Twitter for Android",204,170,717,0,603,FALSE,FALSE
2018-05-28 09:06:38,0,FALSE,"Marcemenesses","Twitter Web Client",10549,567,468,7,21974,FALSE,FALSE
2018-05-28 11:12:45,0,FALSE,"doteropro3","Twitter for Android",12,1,1,0,31,FALSE,FALSE
2018-05-28 10:07:55,0,FALSE,"manugonzalez76","Twitter for iPhone",3548,108,435,0,4456,FALSE,FALSE
2018-05-28 10:15:04,0,FALSE,,"TweetDeck",1001,26745,399,28,21871,TRUE,FALSE
2018-05-28 10:20:09,0,FALSE,"Tigre_FIFA","Twitter for Android",799,218,2119,0,336,FALSE,FALSE
2018-05-28 11:14:37,0,FALSE,,"Twitter Lite",11775,313,771,8,21324,FALSE,FALSE
2018-05-28 10:35:11,0,FALSE,,"Twitter for Android",3369,14725,2924,71,141785,FALSE,FALSE
2018-05-28 11:03:20,0,FALSE,,"Twitter Web Client",1090,64,313,0,680,FALSE,FALSE
2018-05-28 09:39:31,0,FALSE,,"Google",100,163,627,5,4990,FALSE,FALSE
2018-05-28 09:15:22,0,FALSE,"ExaFM","Twitter for iPhone",10,12,205,0,34,FALSE,FALSE
2018-05-28 11:30:15,0,FALSE,,"Google",169,96,367,0,1328,FALSE,FALSE
2018-05-28 09:14:49,0,FALSE,,"Google",0,1,0,0,1112,FALSE,FALSE
2018-05-28 10:10:16,0,FALSE,,"Hootsuite Inc.",0,97,249,0,821,FALSE,FALSE
2018-05-28 11:13:52,0,FALSE,,"Twitter for Android",3393,186,673,1,4426,FALSE,FALSE
2018-05-28 10:32:03,0,FALSE,"miseleccionmx","Twitter for iPhone",1350,21,213,1,878,FALSE,FALSE
2018-05-28 10:35:23,0,FALSE,,"Facebook",3344,286,856,10,5276,FALSE,FALSE
2018-05-28 10:12:32,0,FALSE,"MurdrFIFA","Twitter Web Client",47711,37997,291,30,33885,FALSE,FALSE
2018-05-28 10:49:59,0,FALSE,"EASPORTSFutbol","Twitter for Android",3897,75,191,0,3452,FALSE,FALSE
