"created_at","retweet_count","is_quote","reply_to_screen_name","source","favourites_count","followers_count","friends_count","listed_count","statuses_count","verified","popular"
2018-05-28 10:26:10,7,FALSE,,"Twitter for Android",2433,1012,1451,3,9939,FALSE,TRUE
2018-05-28 09:14:39,0,FALSE,"ExaFM","Twitter for iPhone",10,12,205,0,34,FALSE,FALSE
2018-05-28 09:21:57,0,FALSE,,"IFTTT",2077,7390,1788,174,45855,TRUE,FALSE
2018-05-28 09:57:57,0,FALSE,"MilagrosLeivaG","Twitter for Android",795,9,41,0,1017,FALSE,FALSE
2018-05-28 09:39:18,0,TRUE,,"Twitter for Android",441,115,161,5,1311,FALSE,FALSE
2018-05-28 10:17:19,0,TRUE,,"Twitter for Android",633,200,214,2,12705,FALSE,FALSE
2018-05-28 11:06:38,0,FALSE,"eduardotrelles","Twitter for iPhone",777,68,522,1,1330,FALSE,FALSE
2018-05-28 10:19:52,0,FALSE,,"Google",24,15,65,0,246,FALSE,FALSE
2018-05-28 09:59:55,0,FALSE,"FIFA_UT_Store","Twitter for iPhone",2977,47,912,0,114,FALSE,FALSE
2018-05-28 10:50:22,0,FALSE,,"GE WP TW auto publish",2210,7003,429,126,18070,FALSE,FALSE
2018-05-28 10:45:00,1,FALSE,,"TweetDeck",765,1751433,470,3040,145208,TRUE,TRUE
2018-05-28 10:17:19,0,FALSE,,"Google",336,229,289,1,2626,FALSE,FALSE
2018-05-28 10:44:10,0,FALSE,"GamepIay","Twitter Web Client",777,95,191,0,7157,FALSE,FALSE
2018-05-28 09:57:35,0,TRUE,,"Twitter for iPhone",1006,462,799,5,5547,FALSE,FALSE
2018-05-28 09:37:33,0,FALSE,,"Twitter Web Client",17,94,151,0,44,FALSE,FALSE
2018-05-28 09:31:19,0,FALSE,,"Google",518,108,356,0,3811,FALSE,FALSE
2018-05-28 10:13:48,0,FALSE,"VictorMVick","Twitter for Android",372,121,99,0,560,FALSE,FALSE
2018-05-28 09:34:31,0,FALSE,"MattProAcademy","Twitter for Android",491,317,992,7,777,FALSE,FALSE
2018-05-28 10:59:49,0,FALSE,"FIFAALLSTARS","Twitter for iPhone",1437,147,1650,0,660,FALSE,FALSE
2018-05-28 10:47:56,10,FALSE,,"Facebook",181,29174,496,35,23619,FALSE,TRUE
2018-05-28 11:16:11,0,FALSE,,"Twitter Web Client",3364,9149,899,78,16614,FALSE,FALSE
2018-05-28 10:29:16,0,FALSE,,"Twitter Web Client",4771,124,1024,3,5425,FALSE,FALSE
2018-05-28 10:34:23,3,FALSE,,"Twitter Web Client",141,215,126,0,526,FALSE,TRUE
2018-05-28 11:28:48,0,FALSE,,"Twitter for Android",5452,908,1430,4,26272,FALSE,FALSE
2018-05-28 11:04:05,0,FALSE,,"Twitter for Android",28809,1027,1917,24,28431,FALSE,FALSE
2018-05-28 10:19:40,0,FALSE,,"Google",68,26,75,1,6038,FALSE,FALSE
2018-05-28 09:02:45,0,TRUE,,"Twitter Web Client",10786,3949,247,27,55101,FALSE,FALSE
2018-05-28 11:05:30,0,FALSE,,"Twitter for Android",13581,1893,78,10,39504,FALSE,FALSE
2018-05-28 10:00:20,0,FALSE,,"dlvr.it",283,2599,1053,19,20700,FALSE,FALSE
2018-05-28 10:02:32,2,FALSE,,"Twitter Web Client",5972,1729,1063,44,8641,FALSE,TRUE
2018-05-28 10:47:51,0,TRUE,,"Twitter for Android",9606,279,288,23,15826,FALSE,FALSE
2018-05-28 11:18:08,0,FALSE,,"IFTTT",323,39,117,0,7440,FALSE,FALSE
2018-05-28 11:14:48,0,FALSE,"FIFA_naticos","Twitter for iPhone",21376,302,206,2,26961,FALSE,FALSE
2018-05-28 10:28:14,0,FALSE,,"Twitter for iPhone",3021,149,1439,4,2123,FALSE,FALSE
2018-05-28 11:10:47,0,FALSE,"rodrigol_fc","Twitter Lite",4280,158,668,1,2387,FALSE,FALSE
2018-05-28 10:03:30,1,FALSE,,"Twitter Web Client",4136,11366,1324,56,8155,FALSE,TRUE
2018-05-28 10:46:15,0,FALSE,,"IFTTT",1262,2235,356,37,19818,FALSE,FALSE
2018-05-28 09:33:05,0,FALSE,,"Twitter for Android",269,1064,183,4,1649,FALSE,FALSE
2018-05-28 10:47:36,0,FALSE,,"Twitter Web Client",862,148,164,0,8554,FALSE,FALSE
2018-05-28 10:45:45,1,FALSE,"AiramHardcore","Twitter for Android",383,180,131,1,369,FALSE,TRUE
2018-05-28 10:55:13,0,FALSE,"Juanjo_fifa","Twitter for Android",12670,271,627,13,8972,FALSE,FALSE
2018-05-28 09:06:17,0,FALSE,,"TweetDeck",5096,597,185,19,117399,FALSE,FALSE
2018-05-28 11:28:12,2,FALSE,,"Twitter for Android",15135,1617,720,6,5961,FALSE,TRUE
2018-05-28 09:35:10,0,FALSE,,"Twitter Web Client",283,34356,608,161,82765,TRUE,FALSE
2018-05-28 09:21:34,0,FALSE,,"Twitter Web Client",283,34356,608,161,82765,TRUE,FALSE
2018-05-28 09:38:50,0,FALSE,"F_deFIFA","Twitter for Android",5338,16,49,1,818,FALSE,FALSE
2018-05-28 09:15:30,0,FALSE,"SergioRamos","Twitter Lite",165,7,65,0,286,FALSE,FALSE
2018-05-28 10:45:03,0,FALSE,"LaLiga","Twitter for Android",1379,185,504,3,5787,FALSE,FALSE
2018-05-28 10:41:26,0,FALSE,,"Twitter for iPhone",3308,970,1076,24,26848,FALSE,FALSE
2018-05-28 11:22:01,0,FALSE,"FiloPolitics","Twitter for Android",42578,254,238,1,17156,FALSE,FALSE
2018-05-28 11:01:17,0,FALSE,,"SocialGest",23571,488,259,12,5420,FALSE,FALSE
2018-05-28 11:14:48,0,FALSE,,"Google",262,83,8,7,7365,FALSE,FALSE
2018-05-28 09:34:27,0,FALSE,,"Twitter for Android",77,2712,446,52,10801,FALSE,FALSE
